Workbook Name,Workbook ID,Start Time,End Time,Status,Job ID,Error Message
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-13 01:06:14,2026-04-13 01:07:56,Success,fc3793e2-1a1b-4792-a3c8-9b36d39fbb60,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-13 01:07:56,2026-04-13 01:10:37,Success,537bfc48-4f4f-4c58-9960-e9c0a1e78831,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-13 01:10:37,2026-04-13 01:11:30,Success,6bd5aac4-6ad7-40bf-8c8f-387d849f187c,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-13 01:11:30,2026-04-13 01:13:12,Success,bad2b3d1-a0d0-4aa0-b2df-fcab9339b327,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-13 01:13:12,2026-04-13 01:15:23,Success,b89e092f-c768-4918-9086-1adf69876d56,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-13 23:39:20,2026-04-13 23:39:58,Success,55cd5f2b-a219-4545-bffe-c68dedd9a41a,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-13 23:39:58,2026-04-13 23:42:40,Success,365bdd94-f331-41e5-a8a5-225344499fbc,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-13 23:42:40,2026-04-13 23:43:07,Success,c662fbd8-8836-46b3-8e2d-bda43d44e11b,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-13 23:43:08,2026-04-13 23:45:20,Success,4f9455d9-639f-4896-bd25-1a9ba4219094,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-13 23:45:20,2026-04-13 23:47:02,Success,aaeaec04-4b2f-47ea-b0a1-014d5c2e25f3,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-14 23:39:29,2026-04-14 23:41:11,Success,4a2767ae-d662-4cfc-a553-090548abb751,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-14 23:41:11,2026-04-14 23:43:53,Success,8f160379-20db-4a58-8c7f-a12916e143a0,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-14 23:43:53,2026-04-14 23:44:46,Success,c8d67c17-d514-46fb-a34c-71b86f7c6d28,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-14 23:44:46,2026-04-14 23:45:39,Success,7945aeab-b537-479c-99ab-86cfb90872ef,
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-14 23:45:39,2026-04-14 23:47:21,Success,0806253b-32dc-4768-8d6b-1c0f25480ba4,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-15 23:38:57,2026-04-15 23:39:35,Success,836a2c6f-7533-4238-8c75-b39e9ebf9790,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-15 23:39:35,2026-04-15 23:42:17,Success,a9373587-bdaf-445c-8d22-bf0e44b4a83d,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-15 23:42:17,2026-04-15 23:43:59,Success,98cbf5e4-7423-4adb-b131-7d739f6f46db,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-15 23:43:59,2026-04-15 23:44:26,Failed,N/A,Job 624d040d-075f-4d56-b296-be9dab2c73be failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-15 23:44:26,2026-04-15 23:47:09,Success,1747787c-0651-4194-87a8-706be0629b98,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-16 23:37:23,2026-04-16 23:37:50,Success,880bdd5c-58fe-4b3b-a6f1-e10c590f6eca,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-16 23:37:50,2026-04-16 23:41:33,Success,b3e32351-78a7-4511-ba18-aeaba2ca105d,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-16 23:41:33,2026-04-16 23:42:01,Success,6d01806d-196d-4461-b4af-27e4631f83b1,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-16 23:42:01,2026-04-16 23:42:28,Failed,N/A,Job 01abf059-cd7e-45d0-acae-21427b841e51 failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-16 23:42:29,2026-04-16 23:44:41,Success,a923bd42-b299-4431-add4-f66591cfa3f0,
Google Trend,bb430b45-8206-48da-afcd-c76d21cc435c,2026-04-17 23:36:01,2026-04-17 23:36:39,Success,1a18ab09-d6c3-46b4-bd85-468a67ed4fe6,
Equity Dashboard,af1428a6-d8b9-4d61-ac55-ef123c5d6eeb,2026-04-17 23:36:39,2026-04-17 23:38:52,Success,db3faa31-c7e6-4cc6-b095-fc42aff4a063,
IMF,6ac84523-3930-4030-9fe6-f834202595ad,2026-04-17 23:38:52,2026-04-17 23:41:05,Success,effa683d-9c73-48f6-b7af-6fb95d538fd9,
Central Bank Sentiment,1c4296da-af18-4d8b-9f23-1ad75061c959,2026-04-17 23:41:06,2026-04-17 23:41:26,Failed,N/A,Job 969a46d8-1b29-49de-8c4f-b1acf8213bdd failed with notes ['com.tableausoftware.server.status.reporting.TableauRuntimeException: Missing password.\nInvalid username or password.']
AQI,af30aab2-1ea6-487f-ab78-4b759c7c3f6f,2026-04-17 23:41:26,2026-04-17 23:43:08,Success,39bd029d-d7db-484b-a42a-6e1bdab39df7,
Growth Dashboard,7a18e082-9c16-4d03-afa2-b6b8bf86af7e,2026-04-17 23:43:08,2026-04-17 23:43:09,Failed,N/A,  	403180: Bad Request 		Full extract refresh operation for the workbook '7a18e082-9c16-4d03-afa2-b6b8bf86af7e' is not allowed.. (0x5CE10192 : Full refresh extract operation for the workbook is not allowed.)
